City,Street,lon,lat
Bandung,Gempolsari,-6.929688,107.547367
Bandung,Pasawahan,-6.961042, 107.615345
Bandung,Rancabolang,-6.966154,107.691906
Bandung,Cibiru,-6.950136,107.713535
